age,income,credit_score,loan_amount,employment_type,marital_status,education,default
56,21920,454,366203,Salaried,Married,Bachelor,1
69,126121,389,129564,Salaried,Single,Bachelor,1
46,97219,657,233497,Unemployed,Single,Bachelor,1
32,96872,473,122213,Salaried,Single,Master,0
60,101132,516,186051,Salaried,Married,Bachelor,0
25,22093,755,30465,Salaried,Single,High School,0
38,32905,498,189972,Self-Employed,Married,Bachelor,1
56,141759,785,64799,Salaried,Single,PhD,0
36,44351,832,101129,Salaried,Single,High School,0
40,50981,499,419546,Self-Employed,Single,Bachelor,1
28,93903,670,144374,Salaried,Married,Master,0
28,90821,747,476659,Salaried,Single,High School,0
41,129200,547,488182,Self-Employed,Married,Bachelor,1
53,123241,563,374432,Salaried,Married,PhD,1
57,102289,357,248761,Self-Employed,Married,High School,0
41,136506,601,470933,Salaried,Married,Master,0
20,104021,330,247821,Unemployed,Married,Master,1
39,98513,797,17875,Unemployed,Married,Bachelor,0
19,39874,548,32219,Salaried,Divorced,Bachelor,0
41,70931,570,303326,Salaried,Single,PhD,1
61,27674,693,216613,Unemployed,Single,Master,1
47,70516,801,440485,Salaried,Married,High School,0
55,141982,383,346925,Salaried,Married,Bachelor,0
19,148408,664,11457,Self-Employed,Married,Master,0
38,114574,848,404965,Self-Employed,Single,Bachelor,0
50,80686,641,38064,Self-Employed,Married,Bachelor,0
29,114851,706,408037,Salaried,Divorced,PhD,0
39,89212,724,120256,Salaried,Married,Bachelor,0
61,22426,392,365441,Self-Employed,Divorced,Master,1
42,142952,711,239659,Self-Employed,Married,Master,0
66,110009,731,214727,Self-Employed,Single,High School,0
44,88498,458,405880,Unemployed,Married,Master,1
59,49943,313,165353,Self-Employed,Married,Bachelor,1
45,86395,672,263063,Salaried,Married,Bachelor,0
33,64816,524,241887,Self-Employed,Married,Bachelor,1
32,24138,804,430037,Salaried,Married,Bachelor,0
64,120728,372,239841,Salaried,Single,Master,1
68,111176,548,422863,Salaried,Single,PhD,1
61,95945,810,74918,Self-Employed,Married,Master,0
69,24017,515,218057,Unemployed,Divorced,Bachelor,1
20,30451,840,481015,Salaried,Single,Master,0
54,82956,519,357323,Salaried,Divorced,High School,1
68,113863,520,342088,Salaried,Married,High School,1
24,30278,688,94142,Self-Employed,Single,High School,0
38,110480,341,32603,Self-Employed,Single,Bachelor,1
26,63764,582,313602,Salaried,Single,High School,0
56,143030,357,75605,Self-Employed,Divorced,Bachelor,1
35,21134,836,286767,Salaried,Married,Bachelor,0
21,82943,372,49440,Salaried,Divorced,Bachelor,1
42,115667,428,349571,Salaried,Divorced,PhD,1
31,74318,725,405920,Self-Employed,Married,PhD,0
67,123423,424,360970,Salaried,Married,Master,1
26,123998,366,294604,Self-Employed,Married,Bachelor,0
43,80128,305,219117,Salaried,Married,Master,0
19,108056,613,218877,Salaried,Single,Master,0
37,41869,625,471727,Salaried,Married,Master,1
45,122468,805,115373,Salaried,Married,High School,0
64,137034,381,404781,Salaried,Single,Bachelor,1
24,25039,301,486219,Self-Employed,Married,Bachelor,1
61,41281,503,272014,Salaried,Divorced,Bachelor,1
25,132935,703,23909,Self-Employed,Married,Bachelor,0
64,30442,402,276261,Salaried,Married,Master,1
52,93788,835,254975,Salaried,Single,Master,0
31,139729,667,334618,Salaried,Married,High School,0
34,47586,511,98926,Unemployed,Married,Bachelor,1
53,73053,508,442538,Salaried,Divorced,Master,1
67,70489,416,132463,Salaried,Divorced,High School,1
57,103104,777,106536,Unemployed,Divorced,High School,0
21,106346,404,287272,Salaried,Single,Master,1
19,87087,794,256981,Self-Employed,Married,Bachelor,0
23,32625,345,495533,Salaried,Divorced,Master,1
59,54397,630,336145,Self-Employed,Divorced,Master,1
21,78671,515,267584,Salaried,Divorced,Master,1
46,136214,791,459171,Unemployed,Married,High School,1
35,111785,748,185685,Salaried,Married,High School,0
43,86897,835,128491,Salaried,Single,Bachelor,0
61,46149,810,469165,Salaried,Divorced,High School,1
51,80030,757,409879,Salaried,Married,Bachelor,0
27,89906,846,155619,Self-Employed,Single,Master,0
53,25283,835,86662,Salaried,Single,PhD,0
31,27610,839,241128,Salaried,Married,Master,0
48,63326,783,5005,Salaried,Married,Bachelor,0
65,34924,315,239152,Salaried,Single,Master,1
